,party,sentence,sentence_coal,score
21,fdp,"die ehefrau der leiblichen mutter soll von geburt an automatisch rechtlich zweite mutter sein, wenn das kind mit hilfe einer nicht-gerichteten samenspende gezeugt wurde oder der leibliche vater anderweitig einvernehmen erklärt hat.","wenn ein kind in die ehe zweier frauen geboren wird, sind automatisch beide rechtliche mütter des kindes, sofern nichts anderes vereinbart ist.",0.9037235
22,fdp,"wir freie demokraten wollen zudem, dass deutschland im sinne eines vernetzten ansatzes drei prozent seines bruttoinlandsprodukts in internationale sicherheit („3d – defence, development and diplomacy“) investiert, so seine in der nato eingegangenen verpflichtungen erfüllt, seine entwicklungspolitik verstetigt und seine diplomatie stärkt.","wir wollen, dass deutschland im sinne eines vernetzten und inklusiven ansatzes langfristig drei prozent seines bruttoinlandsprodukts in internationales handeln investiert, so seine diplomatie und seine entwicklungspolitik stärkt und seine in der nato eingegangenen verpflichtungen erfüllt.",0.9014595
23,fdp,ziel muss ein über den europäischen emissionshandel (eu-ets) hinaus international abgestimmtes vorgehen beim klimaschutz mit einheitlichem co2-preis für alle sein.,"wir streben ein globales emissionshandelssystem an, das mittelfristig zu einem einheitlichen co2-preis führt.",0.9008839
24,fdp,forstwirtschaftliche zusammenschlüsse und damit auch kleinprivatwälder wollen wir stärken.,wir stärken forstwirtschaftliche zusammenschlüsse.,0.9007891
25,fdp,"dazu wollen wir den gesetzlichen spielraum für verträge zwischen krankenkassen und leistungserbringern ausweiten, um innovative versorgungsformen zu stärken.","zudem erhöhen wir die attraktivität von bevölkerungsbezogenen versorgungsverträgen (gesundheitsregionen) und weiten den gesetzlichen spielraum für verträge zwischen krankenkassen und leistungserbringern aus, um innovative versorgungsformen zu stärken.",0.9007709
26,fdp,dieser konvent sollte einer dezentral und föderal verfassten union eine rechtsverbindliche verfassung mit einem grundrechtekatalog und starken institutionen geben.,"die konferenz sollte in einen verfassungsgebenden konvent münden und zur weiterentwicklung zu einem föderalen europäischen bundesstaat führen, der dezentral auch nach den grundsätzen der subsidiarität und verhältnismäßigkeit organisiert ist und die grundrechtecharta zur grundlage hat.",0.89825255
27,fdp,sie darf durch klima- und energiepolitische maßnahmen nicht gefährdet werden.,gleichzeitig sollten sie klimapolitischen zielen nicht entgegenstehen.,0.8956062
28,fdp,hierbei handelt es sich um eine staatliche aufgabe.,sie zu gewährleisten ist staatliche pflicht.,0.8942449
29,fdp,forstwirtschaftliche zusammenschlüsse und damit auch kleinprivatwälder wollen wir stärken.,wir verstärken hierzu insbesondere unsere ansätze zur förderung der privatwirtschaftlichen und kleinbäuerlichen nachhaltigen forstwirtschaft.,0.89381886
30,fdp,"darüber hinaus braucht deutschland eine politische gesamtstrategie, die die ziele und prioritäten unserer außen-, verteidigungs- und entwicklungspolitik festlegt.","die deutsche außenpolitik soll aus einem guss agieren und ressortübergreifend gemeinsame strategien erarbeiten, um die kohärenz unseres internationalen handelns zu erhöhen.",0.8933125
31,fdp,"wir wollen speicher daher als eigenständige säule des energiesystems neben produzenten, netzen sowie verbraucherinnen und verbrauchern rechtlich definieren und für einen wirtschaftlichen betrieb von abgaben und umlagen befreien.",wir werden speicher als eigenständige säule des energiesystems rechtlich definieren.,0.8922296
32,fdp,"die türkei ist und bleibt als nato-mitglied und als eng mit der eu vernetzter nachbar ein unverzichtbarer partner, weswegen wir uns dafür stark machen, die sicherheitspolitischen spannungen im bündnis abzubauen.",die türkei bleibt für uns trotz besorgniserregender innenpolitischer entwicklungen und außenpolitischer spannungen ein wichtiger nachbar der eu und partner in der nato.,0.89131826
33,fdp,wir wollen allen menschen eine wohnortnahe und qualitativ hochwertige medizinische versorgung sichern.,wir sorgen für eine bedarfsgerechte gesundheitsversorgung und eine menschliche und qualitativ hochwertige medizin und pflege.,0.89130706
34,fdp,"die hohe vertreterin oder der hohe vertreter der eu für außen- und sicherheitspolitik muss so gestärkt werden, dass sie oder er zukünftig als vollwertige „eu-außenministerin“ oder als vollwertiger „eu-außenminister“ agieren kann.","den europäischen auswärtigen dienst gilt es zu reformieren und zu stärken, einschließlich der rolle der hohen vertreterin bzw. des hohen vertreters als echte „eu-außenministerin“ bzw. echtem „eu- außenminister“.",0.8906616
35,fdp,wir stellen uns diskriminierung und gruppenbezogener menschenfeindlichkeit aktiv entgegen.,jeglicher diskriminierung wirken wir entgegen.,0.89043117
36,fdp,wir fordern deshalb die weiterentwicklung der deutschen nachhaltigkeitsstrategie (dns) entlang dieser ziele und indikatoren.,wir werden die deutsche nachhaltigkeitsstrategie und das maßnahmenprogramm nachhaltigkeit weiterentwickeln und die governance-strukturen überprüfen.,0.8883032
37,fdp,dabei muss der arbeitgeber den antrag von beschäftigten auf mobiles arbeiten und homeoffice prüfen und mit der oder dem beschäftigten erörtern.,beschäftigte in geeigneten tätigkeiten erhalten einen erörterungsanspruch über mobiles arbeiten und homeoffice.,0.8862977
38,fdp,bund und länder müssen hier intensiver zusammenarbeiten.,dieser weg soll in zusammenarbeit mit den ländern intensiviert werden.,0.8861325
39,fdp,vernehmungen und hauptverhandlung müssen in bild und ton aufgezeichnet werden – das ist international standard.,vernehmungen und hauptverhandlung müssen in bild und ton aufgezeichnet werden.,0.8858711
40,fdp,"in einem digitalpakt für die justiz soll sich der bund daran beteiligen, die technische ausstattung der justiz in den ländern deutlich zu verbessern, um zum beispiel virtuelle verhandlungen zu ermöglichen.",wir verstetigen mit den ländern den pakt für den rechtsstaat und erweitern ihn um einen digitalpakt für die justiz.,0.88579094
41,fdp,die eigenen operativen möglichkeiten von europol müssen ausgedehnt werden.,wir streben die weiterentwicklung von europol zu einem europäischen kriminalamt mit eigenen operativen möglichkeiten an.,0.88477904
42,fdp,"wir wollen außerdem den zugang zum recht erleichtern, indem geringfügige forderungen in einem vollständig digitalen, kostengünstigen und schnellen verfahren geltend gemacht werden können.",kleinforderungen sollen in bürgerfreundlichen digitalen verfahren einfacher gerichtlich durchgesetzt werden können.,0.88469297
43,fdp,die berufliche ausbildung selbst wollen wir durchlässiger gestalten.,zudem wollen wir die durchlässigkeit von beruflicher und akademischer bildung verbessern.,0.8840265
44,fdp,auch global setzen wir uns für wettbewerb mit fairen rahmenbedingungen ein.,fairer wettbewerb wir verbessern die rahmenbedingungen für fairen wettbewerb.,0.88312453
45,fdp,"mobilität eine innovative, ökologische und bezahlbare mobilität ist angewiesen auf eine zukunftsweisende verkehrspolitik ohne ideologische scheuklappen.","mobilität wir wollen die 2020er jahre zu einem aufbruch in der mobilitätspolitik nutzen und eine nachhaltige, effiziente, barrierefreie, intelligente, innovative und für alle bezahlbare mobilität ermöglichen.",0.882885
46,fdp,dies ist grundvoraussetzung für eine lebendige kultur- und kreativwirtschaft.,wir setzen uns für eine starke kulturszene und kreativwirtschaft ein.,0.8823785
47,fdp,wir wollen das blutspende-verbot für homo- und bisexuelle männer endlich abschaffen.,"das blutspendeverbot für männer, die sex mit männern haben, sowie für trans-personen schaffen wir ab, nötigenfalls auch gesetzlich.",0.88073605
48,fdp,nutzen wir die chancen der digitalisierung für uns.,wir wollen das potenzial der digitalisierung in staat und gesellschaft besser nutzen.,0.87979984
49,fdp,heim- und pflegekinder müssen ihr selbstständig verdientes geld behalten können.,heim- und pflegekinder sollen eigene einkünfte komplett behalten können.,0.8782252
50,fdp,wir freie demokraten fordern ein unverzügliches ende der gewalt in der ostukraine und der völkerrechtswidrigen annexion der krim.,"wir fordern ein unverzügliches ende der destabilisierungsversuche gegen die ukraine, der gewalt in der ostukraine und der völkerrechtswidrigen annexion der krim.",0.8780484
51,fdp,wahlrecht ab 16 wir freie demokraten fordern eine absenkung des wahlalters auf 16 jahre für die wahlen zum deutschen bundestag und europäischen parlament.,"wir wollen das grundgesetz ändern, um das aktive wahlalter für die wahl zum deutschen bundestag auf 16 jahre zu senken.",0.87772924
52,fdp,"strafprozess effektiver, schneller, moderner und praxistauglicher machen wir freie demokraten wollen strafprozesse effektiver, schneller, moderner und praxistauglicher machen – ohne dass sich dies einseitig zu lasten der rechte des beschuldigten und dessen verteidigung auswirkt.","wir machen strafprozesse noch effektiver, schneller, moderner und praxistauglicher, ohne die rechte der beschuldigten und deren verteidigung zu beschneiden.",0.877668
53,fdp,dadurch wollen wir anreize für eine ausgewogenere aufteilung der familienarbeit zwischen den elternteilen schaffen.,"wir unterstützen eltern dabei, erwerbs- und sorgearbeit gerechter untereinander aufzuteilen.",0.877572
54,fdp,"schließlich fordern wir eine bundesweite aufklärungskampagne zur entstigmatisierung psychischer erkrankungen, denn die psychische gesundheit ist eine wesentliche voraussetzung für lebensqualität, leistungsfähigkeit und soziale teilhabe.",wir starten eine bundesweite aufklärungskampagne zur entstigmatisierung psychischer erkrankungen.,0.8771272
55,fdp,"echte gemeinsame außen- und sicherheitspolitik in europa wir freie demokraten wollen eine gemeinsame außen- und sicherheitspolitik (gasp) der eu, die den namen auch verdient.","wir setzen uns für eine echte gemeinsame außen-, sicherheits- und verteidigungspolitik in europa ein.",0.8770557
56,fdp,das europäische parlament soll nach einem einheitlichen wahlrecht mit staatenübergreifenden listen und spitzenkandidatinnen und spitzenkandidaten gewählt werden.,wir unterstützen ein einheitliches europäisches wahlrecht mit teils transnationalen listen und einem verbindlichen spitzenkandidatensystem.,0.8763927
57,fdp,wir wollen das chemische recycling als gleichwertige möglichkeit des recyclings von verpackungen zulassen und somit die rechtliche diskriminierung dieser vielversprechenden technologie beenden.,wir nehmen chemisches recycling im verpackungsgesetz als recyclingoption auf.,0.87584126
58,fdp,"die digitalisierung von allgemeinbildenden, beruflichen und sonderpädagogischen schulen muss ganzheitlich gedacht werden.",die digitalisierung wird zu einem allgemeinen und behördenübergreifenden kernbestandteil der ausbildung.,0.8746873
59,fdp,"die wahlfreiheit soll für alle selbstständigen ohne obligatorisches alterssicherungssystem sowie für selbstständige gelten, die bisher in der gesetzlichen rentenversicherung pflichtversichert sind.","wir werden für alle neuen selbstständigen, die keinem obligatorischen alterssicherungssystem unterliegen, eine pflicht zur altersvorsorge mit wahlfreiheit einführen.",0.87328476
60,fdp,wir stellen uns diskriminierung und gruppenbezogener menschenfeindlichkeit aktiv entgegen.,"wir treten diskriminierung auf allen ebenen entgegen, organisieren teilhabe und repräsentanz.",0.8715781
61,fdp,dies ist grundvoraussetzung für eine lebendige kultur- und kreativwirtschaft.,"wir setzen uns daher für eine starke kulturszene und kreativwirtschaft ein, die fortbestehen und wieder erblühen kann.",0.8713406
62,fdp,dabei bleibt die sicherheit und das existenzrecht israels als jüdischer und demokratischer staat für uns staatsräson und damit grundpfeiler einer liberalen außen- und sicherheitspolitik.,die sicherheit israels ist für uns staatsräson.,0.87045944
63,fdp,"wir brauchen einen handlungs- und durchsetzungsstarken rechtsstaat, der sicherheit und freiheit gleichermaßen gewährleistet.","freiheit und sicherheit wir sorgen für eine vorausschauende, evidenzbasierte und grundrechtsorientierte sicherheits- und kriminalpolitik.",0.8700247
64,fdp,das deutsche staatsangehörigkeitsrecht sollte im fall einer einbürgerung grundsätzlich auch die mehrstaatigkeit zulassen.,dafür werden wir die mehrfachstaatsangehörigkeit ermöglichen und den weg zum erwerb der deutschen staatsangehörigkeit vereinfachen.,0.8700121
65,fdp,dies entlastet von erheblichem bürokratischem aufwand.,"wo nötig, müssen bürokratische hürden abgebaut werden.",0.8697969
66,fdp,selbstbestimmungsgesetz schaffen – geschlechtliche identität schützen wir freie demokraten wollen das transsexuellengesetz abschaffen und durch ein selbstbestimmungsgesetz ersetzen.,wir werden das transsexuellengesetz abschaffen und durch ein selbstbestimmungsgesetz ersetzen.,0.869721
67,fdp,doppelbesteuerung wollen wir genauso verhindern wie steuerverluste durch verlagerungen.,eine doppelte rentenbesteuerung werden wir auch in zukunft vermeiden.,0.8685938
68,fdp,wir setzen uns für einen nationalen aktionsplan gegen homo- und transfeindlichkeit ein.,"queeres leben um queerfeindlichkeit entgegenzuwirken, erarbeiten wir einen ressortübergreifenden nationalen aktionsplan für akzeptanz und schutz sexueller und geschlechtlicher vielfalt und setzen ihn finanziell unterlegt um.",0.86854684
69,fdp,nutzen wir die chancen der digitalisierung für uns.,wir ermöglichen innovationen und treiben die digitalisierung voran.,0.86806
70,fdp,dafür wollen wir entsprechende mittel bereitstellen und die infrastruktur schaffen.,dazu ist ein engagierter aufbau der notwendigen infrastruktur erforderlich.,0.86787796
71,fdp,entlastung und faire steuern deutschland gehört bei steuern und sozialabgaben zur weltspitze.,aus deutschland abfließende einkommen sollen angemessen besteuert werden.,0.86614424
72,fdp,innerhalb der eu geschlossene gleichgeschlechtliche ehen sollen mit allen rechten und pflichten anerkannt werden.,"wir treten dafür ein, dass regenbogenfamilien und in der eu geschlossene gleichgeschlechtliche ehen/lebenspartnerschaften in allen mitgliedsstaaten mit allen rechtsfolgen anerkannt werden.",0.86575973
73,fdp,die berufliche ausbildung selbst wollen wir durchlässiger gestalten.,zusätzlich wollen wir eine begabtenförderung in der beruflichen bildung einführen.,0.86491215
74,fdp,dafür muss die entwicklungszusammenarbeit der eu und ihrer mitgliedstaaten besser aufeinander abgestimmt werden.,dafür werden wir die notwendigen rahmenbedingungen einschließlich effizient gestalteter förderprogramme schaffen und insbesondere auch die europäische zusammenarbeit in diesem bereich stärken.,0.8625559
75,fdp,ziel für nachhaltige entwicklung der agenda 2030 der vereinten nationen.,entwicklungszusammenarbeit wir richten unser handeln an der agenda 2030 der vn mit ihren nachhaltigkeitszielen (sdg) und einer werteorientierten entwicklungspolitik aus.,0.86198294
76,fdp,"so schaffen wir ein europa, das digital unabhängig ist, ohne jedoch in einen digitalen protektionismus zu verfallen.","dabei ist uns bewusst: ein digitaler aufbruch, der unsere werte, die digitale souveränität und einen starken technologiestandort sichert, gelingt nur in einem fortschrittlichen europäischen rahmen.",0.8618495
77,fdp,"eine intelligente videoüberwachung an kriminalitätsschwerpunkten kann aber eine sinnvolle ergänzung zur gefahrenabwehr und strafverfolgung sein, wenn sie verantwortungsvoll und nicht als ersatz für polizeipräsenz eingesetzt wird.","videoüberwachung kann die präsenz einer bürgernahen polizei nicht ersetzen, sie aber an kriminalitätsschwerpunkten ergänzen.",0.8615476
78,fdp,"so sorgen wir für mehr fairness im wettbewerb zwischen großen internationalen konzernen, die aggressive steuervermeidung betreiben, und mittelständlern.",grundlage dafür sind faire wettbewerbsbedingungen; dazu gehört auch eine faire besteuerung – national und international – sowie die konsequente bekämpfung von steuerhinterziehung.,0.8607958
79,fdp,grundlagenforschung fördern wir freie demokraten sehen die grundlagenforschung als basis für innovation an.,"freie, neugier getriebene grundlagenforschung ist fundament der staatlichen forschungsförderung.",0.8604678
80,fdp,es soll auch in zukunft als garant für unsere sicherheit stehen.,wir stellen versorgungssicherheit her.,0.8598334
81,fdp,die bewirtschaftung der wälder hat rücksicht auf die belange des arten- und naturschutzes zu nehmen.,die waldbewirtschaftung spielt dabei eine wichtige rolle.,0.85938454
82,fdp,den zugang zu neuen digitalen lösungen für vereine wollen wir vereinfachen – etwa in den bereichen akquise und verwaltung.,"förderleistungen wollen wir entbürokratisieren, vereinfachen und digitalisieren.",0.8593166
83,fdp,whistleblowerinnen sollen auch vor der strafverfolgung durch ausländische staaten geschützt werden.,"whistleblowerinnen und whistleblower müssen nicht nur bei der meldung von verstößen gegen eu-recht vor rechtlichen nachteilen geschützt sein, sondern auch von erheblichen verstößen gegen vorschriften oder sonstigem erheblichen fehlverhalten, dessen aufdeckung im besonderen öffentlichen interesse liegt.",0.8580308
84,fdp,"für uns ist familie überall dort, wo menschen dauerhaft und verbindlich füreinander verantwortung übernehmen.","familie ist vielfältig und überall dort, wo menschen verantwortung füreinander übernehmen.",0.8579762
85,fdp,wir wollen die eu-entsenderichtlinie vereinfachen und das deutsche arbeitnehmer-entsendegesetz entbürokratisieren.,"dazu wollen wir eine bürokratiearme umsetzung des deutschen arbeitnehmer-entsendegesetzes, eine gute ausstattung der kontrollbehörden und breite beratungsangebote für entsandte und mobile beschäftigte.",0.8574336
86,fdp,dabei stehen wir für eine solide und investitionsorientierte haushaltspolitik und zur im grundgesetz verankerten schuldenbremse.,finanzielle solidität und der sparsame umgang mit steuergeld sind grundsätze unserer haushalts- und finanzpolitik.,0.85719174
87,fdp,"anstatt nur mehr staatliche mittel bereitzustellen, wollen wir für privates kapital die investition in wagniskapital attraktiver gestalten.",zukunftsinvestitionen wir wollen mehr privates kapital für transformationsprojekte aktivieren.,0.85655004
88,fdp,hierbei werden flexible regelungen in einem tarifvertrag oder in einer betriebsvereinbarung rechtssicher ermöglicht.,für abweichende tarifvertragliche und betriebliche regelungen muss raum bleiben.,0.85616726
89,fdp,dafür wollen wir entsprechende mittel bereitstellen und die infrastruktur schaffen.,der ausbau der ladeinfrastruktur muss dem bedarf vorausgehen.,0.8556635
90,fdp,"wir unterstützen deshalb die pläne zur schaffung eines digital markets act auf ebene der europäischen union, mit dem eine das kartellrecht ergänzende europäische regulierung für gatekeeper-unternehmen geschaffen werden soll.",auf eu-ebene setzen wir uns außerdem für eine verabschiedung eines ambitionierten digital markets act (dma) sowie seine durchsetzung durch die wettbewerbsbehörden der mitgliedstaaten ein.,0.8555439
91,fdp,daher treten wir für eine einheitliche europäische regelung zur menschenrechtlichen sorgfaltspflicht in der lieferkette ein.,auf dieser grundlage setzen wir uns in der eu für einheitliche standards ein.,0.8549571
92,fdp,"integrierte gesundheitszentren sollen dabei unterstützen, die regionale grundversorgung mit ambulanten und kurzstationären behandlungen zu sichern.","durch den ausbau multiprofessioneller, integrierter gesundheits- und notfallzentren stellen wir eine wohnortnahe, bedarfsgerechte, ambulante und kurzstationäre versorgung sicher und fördern diese durch spezifische vergütungsstrukturen.",0.8544291
93,fdp,die parlamentarische kontrolle soll verbessert und die rechte der parlamentsminderheit sollen gestärkt werden.,hilfsorgane der parlamentarischen kontrolle stärken wir.,0.8542156
94,fdp,bestandteile davon müssen ein wirksames schwachstellenmanagement und ein recht auf verschlüsselung sein.,"wir führen ein recht auf verschlüsselung, ein wirksames schwachstellenmanagement, mit dem ziel sicherheitslücken zu schließen, und die vorgaben „security-by-design/default“ ein.",0.85375994
95,fdp,"eine innovative, ökologische und bezahlbare mobilität ist angewiesen auf eine zukunftsweisende verkehrspolitik ohne ideologische scheuklappen.","wir wollen eine nachhaltige, barrierefreie, innovative und für alle alltagstaugliche und bezahlbare mobilität ermöglichen.",0.8530729
96,fdp,deshalb brauchen wir eine tatsächlich umsetzbare und agile cybersicherheitsstrategie.,den neuen bedrohungen im cyberspace wollen wir durch eine ehrgeizige cybersicherheitspolitik entgegentreten.,0.8528144
97,fdp,ziel muss ein über den europäischen emissionshandel (eu-ets) hinaus international abgestimmtes vorgehen beim klimaschutz mit einheitlichem co2-preis für alle sein.,wir nutzen die europäische union und die internationalen gremien gemeinsam mit europäischen partnern für eine initiative zur gründung eines für alle staaten offenen internationalen klimaclubs mit einem einheitlichen co2-mindestpreis und einem gemeinsamen co2-grenzausgleich.,0.8526624
98,fdp,nutzen wir die chancen der digitalisierung für uns.,dazu nutzen wir das potenzial der digitalisierung und unterstützen die kommunen bei diesen neuen herausforderungen.,0.8526426
99,fdp,den einsatz von uploadfiltern lehnen wir als immense gefahr für meinungs- und kunstfreiheit im netz jedoch weiterhin ab.,zum schutz der informations- und meinungsfreiheit lehnen wir verpflichtende uploadfilter ab.,0.8526316
100,fdp,deutschland muss seine vorreiterrolle international ausbauen.,"wir wollen deutschlands rolle bei der entschärfung internationaler krisen weiter ausbauen, dazu die zusammenarbeit über ressortgrenzen hinweg verbessern.",0.8526145
101,fdp,"die angebote für bessere chancen, bildung und teilhabe werden ausgeweitet und können von kindern und jugendlichen selbstständig über ein kinderchancenportal kinderleicht abgerufen werden.","mit einem neuen digitalen kinderchancenportal, in dem leistungen für bildung und teilhabe zu finden sind, wollen wir kindern einen einfachen zugang ermöglichen.",0.85257345
102,fdp,"faktisch bedeutet dies die unterwerfung hongkongs durch die kommunistische partei chinas und das aus für das prinzip „ein land, zwei systeme“.",dem prinzip „ein land – zwei systeme“ in hong kong muss wieder geltung verschafft werden.,0.85161215
103,fdp,"es geht nicht nur um die digitalisierung von prozessen, sondern vor allem um einen mentalitätswandel.","zugleich verändert die digitalisierung die art und weise wie wir wirtschaften, arbeiten und miteinander kommunizieren.",0.85103226
104,fdp,auch global setzen wir uns für wettbewerb mit fairen rahmenbedingungen ein.,wir wollen im zunehmenden wettbewerb mit china faire spielregeln.,0.85082835
105,fdp,wir freie demokraten wollen ein einwanderungsrecht aus einem guss in form eines zusammenhängenden einwanderungsgesetzbuches schaffen.,"wir streben ein in sich stimmiges, widerspruchsfreies einwanderungsrecht an, das anwenderfreundlich und systematisiert idealerweise in einem einwanderungs- und aufenthaltsgesetzbuch zusammengefasst wird.",0.8506009
106,fdp,"menschenrechte, meinungsfreiheit und der schutz von minderheiten sind für unser zusammenleben unverzichtbar.",die menschenrechte als wichtigster schutzschild der würde des einzelnen bilden dabei unseren kompass.,0.85052574
107,fdp,"anstatt nur mehr staatliche mittel bereitzustellen, wollen wir für privates kapital die investition in wagniskapital attraktiver gestalten.",wir wollen mehr privates kapital für transformationsprojekte aktivieren.,0.8504785
108,fdp,daher wollen wir sie neben der angewandten forschung weiter ausbauen.,wir fördern gezielt zukunftsweisende großforschungsanlagen.,0.849388
109,fdp,auch paare ohne trauschein und alleinstehende sollen einen anspruch auf förderung haben.,zudem sollen auch unverheiratete paare dies nutzen dürfen.,0.8492403
110,fdp,dazu gehört für uns die stärkung der kulturförderung sowie der kulturellen bildung.,mit einer studie evaluieren wir den beitrag der bundeskulturförderung zur kulturellen bildung.,0.84849066
111,fdp,die demokratische opposition in belarus wollen wir durch verstärkte informationsangebote der deutschen welle und durch finanzielle unterstützung zugunsten der zivilgesellschaft sowie durch visumserleichterungen unterstützen.,die demokratische opposition in belarus werden wir durch weitere angebote unterstützen.,0.8483284
112,fdp,"mit einer waldschutzoffensive wollen wir die schadholzbergung, schädlingsbekämpfung und schnelle aufforstung mit klimaresilienten und standortgerechten baumarten im rahmen der wissenschaftlichen erkenntnisse forcieren.",zur erreichung der klimaziele werden wir mehr in den schutz bestehender wälder und moore und nachhaltige aufforstungen investieren.,0.8478068
113,fdp,wir befürworten die bemühungen taiwans um einbindung in internationale organisationen – soweit das unterhalb der schwelle einer staatlichen anerkennung erfolgen kann.,im rahmen der ein-china-politik der eu unterstützen wir die sachbezogene teilnahme des demokratischen taiwan in internationalen organisationen.,0.84763813
114,fdp,zeitarbeit sichert teilhabe für die beschäftigten und flexibilität für die unternehmen.,dabei müssen flexible arbeitszeitmodelle (z.,0.84744024
115,fdp,so muss deutschland bei der digitalisierung aufholen.,15 digitale innovationen und digitale infrastruktur deutschland braucht einen umfassenden digitalen aufbruch.,0.8467022
116,fdp,der tag des gedenkens an die opfer des nationalsozialismus am 27.,der tag des gedenkens an die opfer des nationalsozialismus´ soll aufgewertet werden.,0.84656405
